Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","138","Mexico","5510","Production","0231","Eggs, hen, in shell","2014","2014","tonnes","2567199","","Official data"
"SL","Livestock Primary","138","Mexico","5510","Production","0231","Eggs, hen, in shell","2015","2015","tonnes","2652530","","Official data"
"SL","Livestock Primary","138","Mexico","5510","Production","0231","Eggs, hen, in shell","2016","2016","tonnes","2720194","","Official data"
"SL","Livestock Primary","138","Mexico","5510","Production","0231","Eggs, hen, in shell","2017","2017","tonnes","2771198","","Official data"
"SL","Livestock Primary","138","Mexico","5510","Production","0231","Eggs, hen, in shell","2018","2018","tonnes","2871918","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0231","Eggs, hen, in shell","2014","2014","tonnes","56402","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0231","Eggs, hen, in shell","2015","2015","tonnes","55615","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0231","Eggs, hen, in shell","2016","2016","tonnes","63234","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0231","Eggs, hen, in shell","2017","2017","tonnes","56950","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0231","Eggs, hen, in shell","2018","2018","tonnes","46059","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0231","Eggs, hen, in shell","2014","2014","tonnes","19","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0231","Eggs, hen, in shell","2015","2015","tonnes","2651","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0231","Eggs, hen, in shell","2016","2016","tonnes","40","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0231","Eggs, hen, in shell","2017","2017","tonnes","45","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0231","Eggs, hen, in shell","2018","2018","tonnes","39","","Official data"
"SL","Livestock Primary","138","Mexico","5525","Seed","0231","Eggs, hen, in shell","2014","2014","tonnes","120438","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5525","Seed","0231","Eggs, hen, in shell","2015","2015","tonnes","124441","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5525","Seed","0231","Eggs, hen, in shell","2016","2016","tonnes","127616","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5525","Seed","0231","Eggs, hen, in shell","2017","2017","tonnes","130008","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5525","Seed","0231","Eggs, hen, in shell","2018","2018","tonnes","134734","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","0231","Eggs, hen, in shell","2014","2014","tonnes","230701","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","0231","Eggs, hen, in shell","2015","2015","tonnes","238370","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","0231","Eggs, hen, in shell","2016","2016","tonnes","244450","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","0231","Eggs, hen, in shell","2017","2017","tonnes","249034","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","0231","Eggs, hen, in shell","2018","2018","tonnes","258085","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0231","Eggs, hen, in shell","2014","2014","tonnes","25958","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0231","Eggs, hen, in shell","2015","2015","tonnes","26060","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0231","Eggs, hen, in shell","2016","2016","tonnes","28001","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0231","Eggs, hen, in shell","2017","2017","tonnes","27452","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0231","Eggs, hen, in shell","2018","2018","tonnes","26588","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0231","Eggs, hen, in shell","2014","2014","tonnes","2246485","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0231","Eggs, hen, in shell","2015","2015","tonnes","2316624","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0231","Eggs, hen, in shell","2016","2016","tonnes","2383321","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0231","Eggs, hen, in shell","2017","2017","tonnes","2421610","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0231","Eggs, hen, in shell","2018","2018","tonnes","2498532","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0231","Eggs, hen, in shell","2014","2014","kcal/capita/day","68","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0231","Eggs, hen, in shell","2015","2015","kcal/capita/day","69","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0231","Eggs, hen, in shell","2016","2016","kcal/capita/day","70","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0231","Eggs, hen, in shell","2017","2017","kcal/capita/day","70","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0231","Eggs, hen, in shell","2018","2018","kcal/capita/day","72","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2014","2014","g/capita/day","51","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2015","2015","g/capita/day","52","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2016","2016","g/capita/day","53","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2017","2017","g/capita/day","53","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2018","2018","g/capita/day","54","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2014","2014","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2015","2015","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2016","2016","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2017","2017","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2018","2018","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2014","2014","g/capita/day","4","Fc","Calculated data"
